,날짜,종가,전일비,시가,고가,저가,거래량
1,2022.07.12,58100.0,700.0,58600.0,58700.0,58100.0,9336061.0
2,2022.07.11,58800.0,100.0,59300.0,59600.0,58700.0,13042624.0
3,2022.07.08,58700.0,500.0,58600.0,59300.0,58200.0,15339271.0
4,2022.07.07,58200.0,1800.0,56400.0,58700.0,56300.0,21322833.0
5,2022.07.06,56400.0,800.0,57300.0,57300.0,56400.0,16820461.0
9,2022.07.05,57200.0,100.0,57600.0,58200.0,57200.0,14216539.0
10,2022.07.04,57100.0,900.0,56100.0,57400.0,55700.0,17807126.0
11,2022.07.01,56200.0,800.0,56900.0,57500.0,55900.0,24982097.0
12,2022.06.30,57000.0,1000.0,57200.0,57600.0,57000.0,18915142.0
13,2022.06.29,58000.0,1400.0,58500.0,58800.0,58000.0,14677138.0
1,2022.06.28,59400.0,600.0,59200.0,59500.0,58700.0,13540538.0
2,2022.06.27,58800.0,400.0,59000.0,59900.0,58300.0,18122236.0
3,2022.06.24,58400.0,1000.0,57900.0,59100.0,57700.0,23256103.0
4,2022.06.23,57400.0,200.0,57700.0,58000.0,56800.0,28338608.0
5,2022.06.22,57600.0,900.0,59000.0,59100.0,57600.0,23334687.0
9,2022.06.21,58500.0,200.0,58700.0,59200.0,58200.0,25148109.0
10,2022.06.20,58700.0,1100.0,59800.0,59900.0,58100.0,34111306.0
11,2022.06.17,59800.0,1100.0,59400.0,59900.0,59400.0,29053450.0
12,2022.06.16,60900.0,200.0,61300.0,61800.0,60500.0,23394895.0
13,2022.06.15,60700.0,1200.0,61300.0,61500.0,60200.0,26811224.0
1,2022.06.14,61900.0,200.0,61200.0,62200.0,61100.0,24606419.0
2,2022.06.13,62100.0,1700.0,62400.0,62800.0,62100.0,22157816.0
3,2022.06.10,63800.0,1400.0,64000.0,64400.0,63800.0,22193552.0
4,2022.06.09,65200.0,100.0,65100.0,65200.0,64500.0,25790725.0
5,2022.06.08,65300.0,200.0,65400.0,65700.0,65300.0,12483180.0
9,2022.06.07,65500.0,1300.0,66200.0,66400.0,65400.0,19355755.0
10,2022.06.03,66800.0,100.0,67200.0,67300.0,66800.0,8222883.0
11,2022.06.02,66700.0,700.0,66600.0,67000.0,66400.0,14959443.0
12,2022.05.31,67400.0,300.0,67500.0,67500.0,66700.0,24365002.0
13,2022.05.30,67700.0,1200.0,67500.0,67800.0,66900.0,14255484.0
1,2022.05.27,66500.0,600.0,66700.0,66900.0,66200.0,11405555.0
2,2022.05.26,65900.0,500.0,66300.0,67200.0,65500.0,15970890.0
3,2022.05.25,66400.0,100.0,66700.0,67100.0,65900.0,15150490.0
4,2022.05.24,66500.0,1400.0,67500.0,67700.0,66500.0,15482576.0
5,2022.05.23,67900.0,100.0,68800.0,68800.0,67600.0,13684088.0
9,2022.05.20,68000.0,500.0,67800.0,68400.0,67700.0,12109671.0
10,2022.05.19,67500.0,600.0,66500.0,67600.0,66500.0,17073727.0
11,2022.05.18,68100.0,500.0,68300.0,68700.0,67600.0,16486319.0
12,2022.05.17,67600.0,1300.0,66600.0,67900.0,66600.0,15680447.0
13,2022.05.16,66300.0,200.0,67100.0,67400.0,66100.0,11937555.0
1,2022.05.13,66500.0,1600.0,65300.0,66700.0,65200.0,14551536.0
2,2022.05.12,64900.0,800.0,65200.0,65500.0,64900.0,16414188.0
3,2022.05.11,65700.0,0.0,65500.0,66300.0,65200.0,12330920.0
4,2022.05.10,65700.0,400.0,65900.0,66300.0,65300.0,17235605.0
5,2022.05.09,66100.0,400.0,66300.0,66900.0,66100.0,11858736.0
9,2022.05.06,66500.0,1400.0,67000.0,67100.0,66500.0,14356156.0
10,2022.05.04,67900.0,400.0,68000.0,68400.0,67500.0,11505248.0
11,2022.05.03,67500.0,200.0,67400.0,68400.0,67300.0,14168875.0
12,2022.05.02,67300.0,100.0,66600.0,67600.0,66500.0,14106184.0
13,2022.04.29,67400.0,2600.0,65100.0,67600.0,65000.0,26190390.0
1,2022.04.28,64800.0,200.0,65400.0,65500.0,64500.0,16895527.0
2,2022.04.27,65000.0,1100.0,65400.0,65500.0,64900.0,18122084.0
3,2022.04.26,66100.0,200.0,66400.0,66700.0,66100.0,12946923.0
4,2022.04.25,66300.0,700.0,66500.0,66700.0,66300.0,11016474.0
5,2022.04.22,67000.0,700.0,67200.0,67300.0,66700.0,11791478.0
9,2022.04.21,67700.0,300.0,67600.0,68300.0,67500.0,12847448.0
10,2022.04.20,67400.0,100.0,67000.0,67400.0,66500.0,16693293.0
11,2022.04.19,67300.0,600.0,67100.0,68000.0,67000.0,12959434.0
12,2022.04.18,66700.0,100.0,66500.0,67100.0,66100.0,10119203.0
13,2022.04.15,66600.0,900.0,67200.0,67300.0,66500.0,13176415.0
